calendar_year,release_date,release_version,event_type,item_name,class,dlc_or_free,baseline_sheet_status,curated_status,observed_simhub_status,control_research_status,remaining_unknowns,recommended_action,promotion_status,promoted_record_id,official_source_url
2024,2024-03-30,1.5.6.1,replaced,F-Ultimate Gen2 (revamped model),F-Ultimate Gen2,free base game,replaced_predecessor_row,existing_record_with_exact_observed_identity,formatting_only_match,analogue_only_in_game_validation_mandatory,Whether every 2024 F1 control rule is intentionally represented | Exact cut and blip behavior | Launch clutch implementation and wheel-rim appearance,review_existing_record_for_post_replacement_controls_not_new_car,approved,ams2.formula-ultimate-2022,https://forum.reizastudios.com/threads/automobilista-2-v1-5-6-1-released-now-updated-to-v1-5-6-3.33205/
2024,2024-03-30,1.5.6.1,variant,Stock Car Pro Series 2024 season,Stock Car 2024,free base game,predecessor_models_only,none,model_members_observed_not_class_name,strong_hardware_evidence_technique_in_game_required,"Forward gear count from the table was not legible in the indexed extract | Start, upshift and downshift clutch use | Automatic cut and blip behavior | Wheel-rim category",expand_class_event_into_reviewed_model_candidates,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-5-6-1-released-now-updated-to-v1-5-6-3.33205/
2024,2024-11-29,1.6.3.0,added,Alpine A424,LMDh / GTP,Endurance Pack Pt2 (DLC),none,none,exact_match_plus_related_aero_variant,strong_gearbox_evidence_technique_in_game_required,Launch clutch use | Automatic cut/blip | Exact wheel-rim category,create_review_candidate_and_separately_review_aero_alias,approved,ams2.alpine-a424,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2024,2024-11-29,1.6.3.0,added,Audi Quattro V8,Group A,free base game,none,none,review_candidate_only,good_manual_gearbox_evidence_gate_and_technique_need_validation,Exact H-pattern gate | Clutch use on every shift | Wheel-rim category,review_official_name_to_observed_dtm_identity_mapping,approved,ams2.audi-v8-quattro-dtm,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Audi R8 LMS GT3,GT3 Gen1,free base game,none,none,not_observed_exact_model,strong_hardware_evidence_technique_in_game_required,Start clutch control | Automatic cut/blip | Wheel-rim category,retain_inventory_gap_pending_simhub_observation,approved,ams2.audi-r8-lms-gt3,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Audi R8 LMS GT3 Evo II,GT3 Gen2 / GTD,Endurance Pack Pt2 (DLC),none,none,formatting_only_match_plus_related_aero_variant,strong_lineage_evidence_evo_specific_validation_needed,Evo II-specific clutch control | Automatic cut/blip | Exact wheel-rim category,create_review_candidate_and_separately_review_aero_alias,approved,ams2.audi-r8-lms-gt3-evo-ii,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2024,2024-11-29,1.6.3.0,added,Audi R8 LMS GT4,GT4,free base game,none,none,exact_match,strong_hardware_and_automatic_clutch_architecture_evidence,Whether AMS2 models clutch control as fully automatic | Exact wheel-rim category,create_review_candidate,approved,ams2.audi-r8-lms-gt4,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,variant,Chevrolet Corvette C3.R Convertible,GT Classics,free base game,related_closed_variant_only,related_closed_variant_record,exact_match,weak_exact_real_world_mapping_in_game_validation_mandatory,Real-world referent | Gear count and pattern | Clutch technique | Wheel-rim category,create_or_link_reviewed_convertible_variant_without_inheriting_controls_silently,approved,ams2.chevrolet-corvette-c3-r-convertible,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,replaced,Chevrolet Corvette C8 Z07,Supercars,Supercars Pack (free upgrade for owners),replaced_predecessor_row,none,not_observed,strong_hardware_evidence_game_behavior_check_needed,Exact AMS2 automatic blip behavior | Whether a clutch binding has any modeled launch function | Wheel-rim category requires visual classification,review_as_z06_package_replacement_after_exact_observation,approved,ams2.chevrolet-corvette-c8-z06-z07-upgrade,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Chevrolet Corvette Z06 GT3.R,GT3 Gen2 / GTD,Endurance Pack Pt2 (DLC),none,none,exact_match_plus_related_aero_variant,strong_gearbox_evidence_controls_partially_unknown,Actuation control | Start clutch use | Automatic cut/blip | Wheel category requires visual classification,create_review_candidate_and_separately_review_aero_alias,approved,ams2.chevrolet-corvette-z06-gt3r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2024,2024-11-29,1.6.3.0,added,Lamborghini Huracan GT3 EVO2,GT3 Gen2 / GTD,Lamborghini Dream Pack Pt1 (DLC),none,none,exact_match_plus_related_aero_variant,partial_primary_evidence_direct_gearbox_source_needed,Direct Lamborghini transmission specification | Start clutch use | Automatic cut/blip,create_review_candidate_and_separately_review_aero_alias,approved,ams2.lamborghini-huracan-gt3-evo2,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Lamborghini Huracan Super Trofeo EVO2,Super Trofeo,Lamborghini Dream Pack Pt1 (DLC),none,none,exact_match,strong_gearbox_evidence_technique_in_game_required,Driver clutch control and start technique | Automatic cut/blip | Wheel-rim category,create_review_candidate_and_review_legacy_compact_identity_separately,approved,ams2.lamborghini-huracan-super-trofeo-evo2,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Lamborghini SC63,LMDh / GTP,Lamborghini Dream Pack Pt1 (DLC),none,none,exact_match_plus_related_aero_variant,strong_gearbox_evidence_technique_in_game_required,Start clutch use | Automatic cut/blip | Wheel-rim category,create_review_candidate_and_separately_review_aero_alias,approved,ams2.lamborghini-sc63,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Lamborghini Veneno Roadster,Hypercars,Lamborghini Dream Pack Pt1 (DLC),none,none,not_observed,strong_transmission_count_partial_controls,Paddle actuation and clutch automation details | Automatic rev matching | Wheel-rim category requires visual classification,retain_inventory_gap_pending_simhub_observation,approved,ams2.lamborghini-veneno-roadster,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Ligier JS P217,LMP2 Gen1 and LMP2 Gen2,Endurance Pack Pt2 (DLC),none,none,exact_match,strong_gearbox_evidence_technique_in_game_required,Start clutch use | Automatic cut/blip | Wheel-rim category,create_review_candidate,approved,ams2.ligier-js-p217,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2024,2024-11-29,1.6.3.0,added,Ligier JS P320,P1 Gen2,free base game,none,none,exact_match,strong_gearbox_evidence_technique_in_game_required,Start clutch use | Automatic cut/blip | Wheel-rim category,create_review_candidate,approved,ams2.ligier-js-p320,https://forum.reizastudios.com/threads/automobilista-2-v1-6-development-update-the-new-cars.34156/
2024,2024-11-29,1.6.3.0,added,Oreca 07,LMP2 Gen1 and LMP2 Gen2,Endurance Pack Pt2 (DLC),none,none,exact_match_plus_related_aero_variant,strong_gearbox_evidence_technique_in_game_required,Start clutch use | Automatic cut/blip | Wheel-rim category,create_review_candidate_and_separately_review_aero_alias,approved,ams2.oreca-07,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2024,2024-12-19,1.6.3.4,variant,Cadillac V-Series R low-downforce configuration,LMDh / GTP,Endurance Pack Pt1 (DLC update),base_model_only,none,formatting_only_variant_match,strong_base_car_evidence_variant_identity_check_needed,Whether the low-downforce selector creates a distinct telemetry identity | Start clutch use | Automatic cut/blip | Wheel-rim category,map_as_reviewed_aero_variant_of_base_model_not_standalone_car,approved,ams2.cadillac-v-series-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-developent-update-changelog-release-notes.34256/
2025,2025-03-14,1.6.4.2,added,Super Trophy Truck,Super Trophy Truck (STT),Adrenaline Pt2 DLC,none,none,review_candidate_only,unresolved-model-exact-source,"The Reiza vehicle is fictional and only inspired by Stadium Super Trucks; no model-exact primary control specification was found. | Gear count, actuation, clutch use, cut/blip behavior, and wheel shape remain unestablished by external sources.",review_suggested_mapping_without_fuzzy_promotion,approved,ams2.super-trophy-trucks,https://forum.reizastudios.com/threads/automobilista-2-v1-6-4-2-super-trophy-trucks-released-now-updated-to-v1-6-4-3.34944/
2025,2025-07-30,1.6.6.0,added,Alpine A110 GT4 Evo,GT4,Endurance Pack Pt3 DLC,none,none,exact_match,partial-lineage-evidence,Exact Evo gear count/actuation confirmation | Start clutch | Automatic cut/blip | Exact wheel shape,create_or_update_review_candidate_from_exact_observation,approved,ams2.alpine-a110-gt4-evo,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,added,Aston Martin Valkyrie Hypercar,GTP / LMDh,Endurance Pack Pt3 DLC,none,none,exact_match,strong-gearbox-partial-technique,"Start clutch procedure | Automatic cut/blip behavior | Whether the AMS2 wheel should be categorized formula, prototype, or bespoke yoke-style",create_or_update_review_candidate_from_exact_observation,approved,ams2.aston-martin-valkyrie-hypercar,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,variant,Aston Martin Valkyrie Hypercar - low-downforce configuration,GTP / LMDh,Endurance Pack Pt3 DLC,none,none,review_candidate_only,base-source-only,Configuration-specific control differences | Start clutch and cut/blip behavior,attach_reviewed_configuration_to_base_identity_unless_controls_differ,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,added,Aston Martin Vantage GT3 Evo,GTD / GT3 Gen2,Endurance Pack Pt3 DLC,none,none,exact_match,partial-lineage-evidence,Exact 2024 actuation and gear count confirmation | Start clutch | Automatic cut/blip | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.aston-martin-vantage-gt3-evo,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,uncertain,Aston Martin Vantage GT3 Evo - second configuration not named by Reiza,GTD / GT3 Gen2,Endurance Pack Pt3 DLC,none,none,review_candidate_only,,,retain_uncertain_inventory_gap_pending_exact_variant_identity,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,added,Aston Martin Vantage GT4 Evo,GT4,Endurance Pack Pt3 DLC,none,none,exact_match,strong-gearbox-partial-technique,Start behavior and cut/blip implementation | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.aston-martin-vantage-gt4-evo,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,added,Aston Martin Vantage GTE,GTE,Endurance Pack Pt3 DLC,none,none,exact_match,strong-gearbox-partial-technique,Start clutch and shift technique | Specific wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.aston-martin-vantage-gte,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-07-30,1.6.6.0,added,Ligier European Series,Ligier European Series,Endurance Pack Pt3 DLC,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://store.steampowered.com/app/3532160/Automobilista_2__Endurance_Pack_Pt3/
2025,2025-07-30,1.6.6.0,added,Ligier JS2-R,Ligier European Series,Endurance Pack Pt3 DLC,none,none,not_observed,strong-gearbox-partial-technique,Whether the centrifugal clutch removes manual start-clutch use in AMS2 | Cut/blip behavior | Wheel category,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.ligier-js2-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-6-nuerburgring-2025-endurance-pack-pt3-released-v1-6-6-3-live-now.35363/
2025,2025-08-30,1.6.7.0,added,Formula Vee Gen2,Formula Vee Gen2,Free base-game update,review_candidate_only,none,exact_match,partial-gear-count-only,Shifter actuation/pattern | Clutch use for starts and shifts | Lift/blip technique | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.formula-vee-gen2,https://forum.reizastudios.com/threads/automobilista-2-v1-6-7-released-now-updated-to-v1-6-7-2.35495/
2025,2025-08-30,1.6.7.0,added,Ligier JS P4,Ligier European Series,"Endurance Pack Pt3 DLC (late addition, included for existing owners)",none,none,exact_match,strong-gearbox-partial-technique,Whether start clutch is driver-operated | Cut/blip behavior | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.ligier-js-p4,https://forum.reizastudios.com/threads/automobilista-2-v1-6-7-released-now-updated-to-v1-6-7-2.35495/
2025,2025-10-02,1.6.8.0,added,Lamborghini Diablo SV-R,Diablo Super Trofeo,Lamborghini Dream Pack Pt2 DLC,none,none,exact_match,strong-primary-with-secondary-conflict,Gate layout and driver technique | A conflicting RM Sotheby's listing describes a gated six-speed; the manufacturer-derived five-speed specification should be tested against AMS2.,create_or_update_review_candidate_from_exact_observation,approved,ams2.lamborghini-diablo-sv-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-02,1.6.8.0,added,Lamborghini Miura SV,Vintage Cars,Lamborghini Dream Pack Pt2 DLC,none,none,not_observed,partial-family-level-evidence,SV-specific confirmation of transmission details and gate layout | Shift technique and wheel shape,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.lamborghini-miura-sv,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-02,1.6.8.0,added,Lamborghini Murcielago R-GT,GT1 2005,Lamborghini Dream Pack Pt2 DLC,none,none,exact_match,strong-gearbox-partial-technique,Actuation type for the exact AMS2 representation | Start clutch | Cut/blip | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.lamborghini-murcielago-r-gt,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-02,1.6.8.0,added,Lamborghini Revuelto,Hypercars,Lamborghini Dream Pack Pt2 DLC,none,none,not_observed,strong-transmission-partial-controls,Exact wheel category and how AMS2 exposes automatic/manual modes,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.lamborghini-revuelto,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-02,1.6.8.0,renamed,Vintage Cars Tier 1,Vintage Cars Tier 1,Free base-game update,review_candidate_only,none,not_observed,,,update_existing_class_or_identity_label_after_review_not_new_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-02,1.6.8.0,renamed,Vintage Cars Tier 2,Vintage Cars Tier 2,Free base-game update,review_candidate_only,none,not_observed,,,update_existing_class_or_identity_label_after_review_not_new_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-lamborghini-dream-pack-pt2-released-now-updated-to-v1-6-8-1.35636/
2025,2025-10-31,1.6.8.5,added,2004 GTR,2004 GTR,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,2005 GT1,2005 GT1,Historical Endurance Pack Pt1 DLC plus Murcielago from Lamborghini Dream Pack Pt2,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,2005 GT2,2005 GT2,Mixed: Porsche in Historical Endurance Pack Pt1; Milano free,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,2005 LMP1,2005 LMP1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,2005 LMP2,2005 LMP2,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,,,expand_class_into_reviewed_model_members_not_a_class_record,research-only-not-approved,,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Aston Martin DBR9 GT1,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,strong-variant-warning,Exact simulated gearbox variant | Technique and wheel,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.aston-martin-dbr9,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,variant,Aston Martin DBR9 GT1 - low-downforce configuration,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,base-source-only,Whether the low-downforce selection maps to a different chassis/gearbox variant,attach_reviewed_configuration_to_base_identity_unless_controls_differ,approved,ams2.aston-martin-dbr9,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Audi R8 LMP1,2005 LMP1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,usable-secondary-source,Primary technical corroboration | Start clutch and shift assistance | Wheel category,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.audi-r8-lmp1,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,BMW M3 GTR,2004 GTR,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,partial-primary-evidence,Exact race gearbox and actuation | Technique and wheel,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.bmw-m3-e46-gtr,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Corvette C5.R,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,strong-gearbox-partial-technique,Exact AMS2 year/specification and actuation | Technique and wheel,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.chevrolet-corvette-c5-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,variant,Corvette C5.R - low-downforce configuration,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,base-source-only,Configuration-specific controls,attach_reviewed_configuration_to_base_identity_unless_controls_differ,approved,ams2.chevrolet-corvette-c5-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Courage C60,2005 LMP1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,partial-secondary-source,Whether AMS2 represents Courage or Pescarolo Hybrid specification | Stick/paddle actuation | Technique and wheel,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.courage-c60-hybrid,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Dallara SP1,2005 LMP1,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,partial-secondary-source,Exact AMS2 chassis/year and therefore stick versus 2005 paddle actuation | Technique and wheel,review_suggested_mapping_without_fuzzy_promotion,approved,ams2.dallara-sp1,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Dodge Viper GTS-R,2005 GT1,Historical Endurance Pack Pt1 DLC,none,exact_record,exact_match,curated-conflicting-historical-variants,Which historical gearbox configuration AMS2 intends,create_or_update_review_candidate_from_exact_observation,approved,ams2.dodge-viper-gts-r,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,variant,Lamborghini Murcielago R-GT - low-downforce configuration,2005 GT1,Lamborghini Dream Pack Pt2 DLC,none,none,formatting_only_match,base-source-only,Whether the low-downforce configuration changes any control behavior,attach_reviewed_configuration_to_base_identity_unless_controls_differ,approved,ams2.lamborghini-murcielago-r-gt,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,variant,Lola B0540 LMP2 - low-downforce configuration,2005 LMP2,Historical Endurance Pack Pt1 DLC,none,none,review_candidate_only,base-source-only,Engine variant represented and configuration-specific controls,attach_reviewed_configuration_to_base_identity_unless_controls_differ,approved,ams2.lola-b05-40-v8,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Lola B0540 Turbo,2005 LMP2,Historical Endurance Pack Pt1 DLC,none,none,not_observed,strong-gearbox-partial-technique,Exact AMS2 turbo engine identity and actuation | Technique and wheel,retain_inventory_gap_pending_exact_simhub_observation,approved,ams2.lola-b05-40-turbo,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Lola B0540 V8,2005 LMP2,Historical Endurance Pack Pt1 DLC,none,none,formatting_only_match,strong-gearbox-partial-technique,Stick/paddle actuation | Start and shift technique | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.lola-b05-40-v8,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,added,Maserati MC12 GT1,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,exact_match,strong-actuation-partial-technique,Gear count and exact stick layout | Start/shift clutch and blip behavior | Wheel category,create_or_update_review_candidate_from_exact_observation,approved,ams2.maserati-mc12-gt1,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
2025,2025-10-31,1.6.8.5,variant,Maserati MC12 GT1 - low-downforce configuration,2005 GT1,Historical Endurance Pack Pt1 DLC,none,none,formatting_only_match,base-source-only,Configuration-specific controls,attach_reviewed_configuration_to_base_identity_unless_controls_differ,approved,ams2.maserati-mc12-gt1,https://forum.reizastudios.com/threads/automobilista-2-v1-6-8-5-released-now-updated-to-v1-6-8-6.35731/
